Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10000743,1,1.0,0,1.0,,227.0,1.0,173.0,18.0,50.0,1.0,7.0,1.0,,75ac2fe6,1cfdf714,713fbe7c,aa65a61e,25c83c98,3bf701e7,7195046d,0b153874,a73ee510,9e5006cd,4d8549da,a48afad2,51b97b8f,b28479f6,d345b1a0,3fa658c5,3486227d,e88ffc9d,c393dc22,b1252a9d,57c90cd9,,bcdee96c,4d19a3eb,cb079c2d,456c12a0
10000159,1,4.0,1,1.0,2.0,27.0,2.0,4.0,2.0,2.0,1.0,1.0,,2.0,05db9164,6c9c9cf3,2730ec9c,5400db8b,25c83c98,7e0ccccf,8a6600b0,813607cc,a73ee510,e4b08fda,4ab39743,be45b877,ab8a1a53,07d13a8f,06969a20,9bc7fff5,07c540c4,92555263,,,242bb710,,3a171ecb,72c78f11,,
10001166,1,0.0,806,,,1752.0,142.0,2.0,0.0,50.0,0.0,1.0,,,05db9164,207b2d81,19d853db,cc4ecbc8,4cf72387,7e0ccccf,b5043bcd,0b153874,a73ee510,3013a9ec,371dae82,378b4833,18fc2b1e,cfef1c29,dad721df,1f2e9dec,07c540c4,25c88e42,21ddcdc9,b1252a9d,a0136dd2,,32c7478e,8fc66e78,001f3601,f37f3967
10000318,0,2.0,-1,42.0,14.0,302.0,38.0,25.0,38.0,90.0,1.0,3.0,,38.0,05db9164,09e68b86,983fc1f4,49045e9d,25c83c98,7e0ccccf,50b436c9,0b153874,a73ee510,0a3a2cb6,a0a5e9d7,fbe49065,ee79db7b,07d13a8f,36721ddc,fc60350c,e5ba7672,5aed7436,21ddcdc9,b1252a9d,c3abeb21,,423fab69,1793a828,e8b83407,5cef228f
10000924,1,0.0,57,2.0,1.0,2891.0,2.0,35.0,1.0,137.0,0.0,17.0,,1.0,05db9164,2a69d406,76c78125,13508380,25c83c98,7e0ccccf,0433a7db,0fb392dd,a73ee510,3b08e48b,418037d7,cbb5e0eb,b0bfed6d,07d13a8f,3b2d8705,74d50e5e,e5ba7672,642f2610,1d1eb838,b1252a9d,1640d50b,ad3062eb,423fab69,45ab94c8,2bf691b1,c84c4aec
10000532,0,0.0,67,3.0,12.0,1470.0,52.0,14.0,6.0,72.0,0.0,1.0,0.0,12.0,5a9ed9b0,421b43cd,c9c2ec4d,29998ed1,25c83c98,fe6b92e5,7076d935,0b153874,a73ee510,d9dcf453,ceb943bc,6aaba33c,6726c9f7,b28479f6,e1ac77f7,b041b04a,e5ba7672,2804effd,,,723b4dfd,,32c7478e,b34f3128,,
10000485,1,1.0,12,10.0,5.0,25.0,5.0,45.0,7.0,1553.0,1.0,17.0,1.0,5.0,5a9ed9b0,b0d4a6f6,73006735,97ceb02f,25c83c98,fbad5c96,407438c8,0b153874,a73ee510,b320e88d,755e4a50,c883f656,5978055e,32813e21,19f03519,636ac9fa,8efede7f,1e3d9f94,,,a5f11cda,,3a171ecb,732eaaee,,
10000251,0,0.0,0,3.0,4.0,4520.0,158.0,28.0,23.0,639.0,0.0,5.0,0.0,6.0,68fd1e64,b46aceb6,7fc6b941,8a8d0597,43b19349,fe6b92e5,4d90c4ed,6c41e35e,a73ee510,9fdec37f,d6194705,48152697,654099a3,07d13a8f,6afa614f,b9660ab7,3486227d,a4667218,,,77e124f1,c9d4222a,55dd3565,38be899f,,
10001288,1,2.0,3,12.0,33.0,14.0,15.0,2.0,29.0,34.0,1.0,1.0,1.0,10.0,05db9164,00ac063c,f483d069,a089e42f,25c83c98,,d4ab9344,5b392875,a73ee510,474773a7,2bcfb78f,8287dc29,e6fc496d,1adce6ef,c06bba41,ddfabc04,3486227d,15a4e6dd,21ddcdc9,5840adea,87e212d4,,32c7478e,c2fe6ca4,001f3601,602f0609
10001697,0,,51,1.0,1.0,2278.0,,0.0,16.0,41.0,,0.0,,7.0,439a44a4,38a947a1,bc2aea05,ac975db6,25c83c98,7e0ccccf,7079e499,0b153874,a73ee510,3b08e48b,6fc6ad29,b67ac327,b0c30eeb,07d13a8f,22223d6c,d388d33c,d4bb7bd8,97b81540,,,0ac4575d,,be7c41b4,d28d80ac,,
